street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Tân Mai,Hoàng Văn Thụ,Hoàng Mai,Hà Nội,100.0,7,3,5,5,379.0,3
Minh Khai,Minh Khai,Hai Bà Trưng,Hà Nội,53.4,7,3,9,7,169.0,3
Láng Hạ,Ô Chợ Dừa,Đống Đa,Hà Nội,8.7,7,7,3,5,488.0,3
Tôn Thất Tùng,Khương Thượng,Đống Đa,Hà Nội,91.4,7,7,3,3,222.0,3
Xuân La,Xuân La,Tây Hồ,Hà Nội,172.7,7,3,3,8,105.0,3
Ngô Quyền,La Khê,Hà Đông,Hà Nội,41.7,7,3,1,5,93.0,3
Quang Tiến,Đại Mỗ,Nam Từ Liêm,Hà Nội,141.0,7,3,3,2,272.0,3
Thạch Bàn,Thạch Bàn,Long Biên,Hà Nội,64.4,7,3,3,1,101.0,3
Hoa Lâm,Việt Hưng,Long Biên,Hà Nội,34.6,7,3,3,6,74.0,3
Xuân Khôi,Cự Khối,Long Biên,Hà Nội,30.0,7,3,3,4,42.0,3
Xuân Khôi,Cự Khối,Long Biên,Hà Nội,33.5,7,3,3,4,846.0,3
Cổ Linh,Thạch Bàn,Long Biên,Hà Nội,39.9,7,3,3,6,133.0,3
Đàm Quang Trung,Long Biên,Long Biên,Hà Nội,32.2,7,3,3,5,715.0,3
Ngọc Thụy,Ngọc Thụy,Long Biên,Hà Nội,48.5,7,3,3,4,123.0,3
